source,content
1872 Rimbaud Les Illuminations,"L’air et le monde point cherchés. La vie.  â€” Était-ce donc ceci ?  â€” Et le rêve fraîchit.  II L’éclairage revient à  l’arbre de bâtisse. Des deux extrémités de la salle, décors quelconques, des élévations harmoniques se joignent. La muraille en face du veilleur est une succession psychologique de coupes, de frises, de bandes atmosphériques et d’accidents géologiques. â€” Rêve intense et rapide de groupes sentimentaux avec des êtres de tous les caractères parmi toutes les apparences.  III Les lampes et les tapis de la veillée font le bruit des vagues, la nuit, le long de la coque et autour du steerage.  La mer de la veillée, telle que les seins d’Amélie.  Les tapisseries, jusqu’à  mi-hauteur, des taillis de dentelle, teinte d’émeraude, où se jettent les tourterelles de la veillée. La plaque du foyer noir, de réels soleils des grèves : ah ! puits des magies ; seule vue d’aurore, cette fois.  NOCTURNE VULGAIRE"
1878 Zola Une page d amour,"; on eà»t dit une échelle de lumière, jetée en travers de Paris, posant ses deux extrémités au bord du ciel, dans les étoiles. à€ gauche, une autre trouée descendait, les Champs-Élysées menaient un défilé régulier d’astres de l’Arc-de-Triomphe à  la place de la Concorde, où luisait le scintillement d’une pléiade ; puis, les Tuileries, le Louvre, les pâtés de maisons du bord de l’eau, l’Hà´tel-de-Ville tout au fond, faisaient des barres sombres, séparées de loin en loin par le carré lumineux d’une grande place ; et, plus en arrière, dans la débandade des toitures, les clartés s’éparpillaient, sans qu’on pà»t retrouver autre chose qu’un enfoncement de rue, un coin tournant de boulevard, un élargissement de carrefour incendié. Sur l’autre rive, à  droite, l’esplanade seule se dessinait nettement, avec son rectangle de flammes, pareil à  quelque Orion des nuits d’hiver, qui aurait perdu son baudrier ; les longues rues du quartier Saint-Germain espaà§aient des clartés tristes ; au delà , les quartiers populeux braisillaient, allumés de petits feux serrés, luisant dans une confusion de nébuleuse. C’était, jusqu’aux faubourgs, et tout autour de l’horizon, une fourmilière de becs de gaz et de fenêtres éclairées, comme une poussière qui emplissait les lointains de la ville de ces myriades de soleils, de ces atomes planétaires que l’œil humain ne peut découvrir. Les édifices avaient sombré, pas un falot n’était"
1901 Zola Travail,"Mais les applications étaient sans nombre, chaque jour naissait un bienfait nouveau. Jordan avait inventé des lampes d’une puissance de lumière telle, que deux ou trois suffisaient à  éclairer une avenue. Le rêve d’allumer la nuit, un autre soleil, au-dessus de Beauclair, allait être réalisé sà»rement. On venait aussi de construire des serres admirables, immenses, où, grâce à  un système perfectionné de chauffage, des fleurs, des légumes, des fruits, poussaient en toutes saisons. La ville en regorgeait, on les distribuait à  pleines mains, il n’y avait désormais plus d’hiver, comme il n’y avait plus de nuit. Et les transports, la locomotion, la simple circulation par les rues populeuses, se trouvaient de plus en plus facilités, grâce à  cette force donnée pour rien, appliquée à  une infinité de véhicules, bicyclettes, petites voitures, chariots, trains de plusieurs wagons."
1883 Maupassant Claire de Lune,"très beau, très doux, très chaud. En descendant vers les boulevards, je regardais au-dessus de ma tête le fleuve noir et plein d’étoiles découpé dans le ciel par les toits de la rue qui tournait et faisait onduler comme une vraie rivière ce ruisseau roulant des astres.   Tout était clair dans l’air léger, depuis les planètes jusqu’aux becs de gaz. Tant de feux brillaient là -haut et dans la ville que les ténèbres en semblaient lumineuses. Les nuits luisantes sont plus joyeuses que les grands jours de soleil.   Sur le boulevard, les cafés flamboyaient, on riait, on passait, on buvait. J’entrai au théâtre, quelques instants, dans quel théâtre? je ne sais plus. Il y faisait si clair que cela m’attrista et je ressortis le cœur un peu assombri par ce choc de lumière brutale sur les ors du balcon, par le scintillement factice du lustre énorme de cristal, par la barrière du feu de la rampe, par la mélancolie de cette clarté fausse et crue. Je gagnai les Champs-Élysées ou les cafés-concerts semblaient des foyers d’incendie dans les feuillages. Les marronniers frottés de lumière jaune avaient l’air peints, un air d’arbres phosphorescents. Et les globes électriques, pareils à  des lunes éclatantes et pâles, à  des œufs de lune tombés du ciel, à  des perles monstrueuses, vivantes, faisaient pâlir sous leur clarté nacrée, mystérieuse et royale, les filets de gaz, de vilain gaz sale, et les guirlandes de verres de couleur.   Je"
1867 Zola Thérèse Raquin,"paquets sous leur bras; on y voit encore des vieillards se traînant dans le crépuscule morne qui tombe des vitres, et des bandes de petits enfants qui viennent là , au sortir de l’école, pour faire du tapage en courant, en tapant à  coups de sabots sur les dalles. Toute la journée, c’est un bruit sec et pressé de pas sonnant sur la pierre avec une irrégularité irritante; personne ne parle, personne ne stationne; chacun court à  ses occupations, la tête basse, marchant rapidement, sans donner aux boutiques un seul coup d’œil. Les boutiquiers regardent d’un air inquiet les passants qui, par miracle, s’arrêtent devant leurs étalages.  Le soir, trois becs de gaz, enfermés dans des lanternes lourdes et carrées, éclairent le passage. Ces becs de gaz, pendus au vitrage sur lequel ils jettent des taches de clarté fauve, laissent tomber autour d’eux des ronds d’une lueur pâle qui vacillent et semblent disparaître par instants. Le passage prend l’aspect sinistre d’un véritable coupe-gorge; de grandes ombres s’allongent sur les dalles, des souffles humides viennent de la rue; on dirait une galerie souterraine vaguement éclairée par trois lampes funéraires. Les marchands se contentent, pour tout éclairage, des maigres rayons que les becs de gaz envoient à  leurs vitrines; ils allument seulement, dans leur boutique, une lampe munie d’un abat-jour, qu’ils posent sur un coin de leur comptoir, et les passants peuvent alors distinguer ce qu’il"
1862 Hugo Les Misérables,"[VII]  Quiconque a médité sait que la méditation a ses effarements, et que ces effarements viennent parfois d'une cause physique, d'un phénomène externe, d'une situation donnée de la création visible.  Mais rien n'est sans signification.  A de certaines heures, le tâtonnement de la pensée devient lugubre. La nuit est une de ces heures-là ; surtout la nuit d'hiver. Il semble qu'il y ait dans le soleil couché quelque chose de la disparition de Dieu. Obtenebratus est sol, crie Isaïe. Où donc est la lumière ? Le songeur nocturne éprouve une sensation d'abandon et d'oubli, | croit sentir du vide | et regarde l'espace avec un tressaillement d'orphelin. Pas d'étoiles ; tout ce qui pouvait ressembler à de la clarté s'est effacé au zénith derrière les nuages, voiles d'Isis. Partout la noirceur. Voilà la nature aveuglée, chose sinistre !  Malheur aux intelligences faibles ! Ces crépuscules, ces brumes, ces troubles de forme et de contour sont pleins d'un frisson vague et malsain.  Les branches de la forêt chuchotent lugubrement. C'est l'heure où les bêtes de la trahison s'éveillent ; la paupière du mal s'entr'ouvre ; les yeux du guetapens flamboient. A l'obscurcissement de la matière répond on ne sait quelle anxiété morale."
1855 Baudelaire Les Fleurs du Mal,"soleils mouillés ï»¿De ces ciels brouillés  Pour mon esprit ont les charmes ï»¿Si mystérieux ï»¿De tes traîtres yeux,  Brillant à  travers leurs larmes.  Là , tout n’est qu’ordre et beauté,  Luxe, calme et volupté.  ï»¿Des meubles luisants,  ï»¿Polis par les ans,  Décoreraient notre chambre; ï»¿Les plus rares fleurs ï»¿Mêlant leurs odeurs Aux vagues senteurs de l’ambre,  ï»¿Les riches plafonds,  ï»¿Les miroirs profonds,  La splendeur orientale,  ï»¿Tout y parlerait ï»¿à€ l’âme en secret Sa douce langue natale.  Là , tout n’est qu’ordre et beauté,  Luxe, calme et volupté.  ï»¿Vois sur ces canaux ï»¿Dormir ces vaisseaux Dont l’humeur est vagabonde; ï»¿C’est pour assouvir ï»¿Ton moindre désir Qu’ils viennent du bout du monde.  ï»¿â€” Les soleils couchants ï»¿Revêtent les champs,  Les canaux, la ville entière,  ï»¿D’hyacinthe et d’or; ï»¿Le monde s’endort Dans une chaude lumière.  Là , tout n’est qu’ordre et beauté,  Luxe, calme et volupté.   Pouvons-nous étouffer le vieux, le long Remords,  ï»¿Qui vit, s’agite et se tortille,  Et se nourrit de nous comme le ver des morts,  ï»¿Comme du chêne la chenille? Pouvons-nous étouffer l’implacable Remords?  Dans quel philtre, dans quel vin, dans quelle tisane,  ï»¿Noierons-nous ce vieil ennemi,  Destructeur et gourmand comme la courtisane,  ï»¿Patient comme la fourmi? Dans quel philtre? â€” dans quel vin? â€” dans quelle tisane?   Dis-le, belle sorcière, oh! dis, si tu le sais,  ï»¿à€"
1878 Zola Une page d amour,"de ces myriades de soleils, de ces atomes planétaires que l’œil humain ne peut découvrir. Les édifices avaient sombré, pas un falot n’était attaché à  leur mâture. Par moments, on aurait pu croire à  quelque fête géante, à  un monument cyclopéen illuminé, avec ses escaliers, ses rampes, ses fenêtres, ses frontons, ses terrasses, son monde de pierre, dont les lignes de lampions traceraient en traits phosphorescents l’étrange et énorme architecture. Mais la sensation qui revenait était celle d’une naissance de constellations, d’un agrandissement continu du ciel."
1869 Verne Vingt mille lieues sous les mers,"la lumière, le mouvement, la vie en un mot.  â€” Mais non pas l’air que vous respirez?  â€” Oh! je pourrais fabriquer l’air nécessaire à  ma consommation, mais c’est inutile puisque je remonte à  la surface de la mer, quand il me plaît. Cependant, si l’électricité ne me fournit pas l’air respirable, elle manœuvre, du moins, des pompes puissantes qui l’emmagasinent dans des réservoirs spéciaux, ce qui me permet de prolonger, au besoin, et aussi longtemps que je le veux, mon séjour dans les couches profondes.  â€” Capitaine, répondis-je, je me contente d’admirer. Vous avez évidemment trouvé ce que les hommes trouveront sans doute un jour, la véritable puissance dynamique de l’électricité.  â€” Je ne sais s’ils la trouveront, répondit froidement le capitaine Nemo. Quoi qu’il en soit, vous connaissez déjà  la première application que j’ai faite de ce précieux agent. C’est lui qui nous éclaire avec une égalité, une continuité que n’a pas la lumière du soleil. Maintenant, regardez cette horloge; elle est électrique, et marche avec une régularité qui défie celle des meilleurs chronomètres. Je l’ai divisée en vingt-quatre heures, comme les horloges italiennes, car pour moi, il n’existe ni nuit, ni jour, ni soleil, ni lune, mais seulement cette lumière factice que j’entraîne jusqu’au fond des mers! Voyez, en ce moment, il est dix heures du matin.   â€” Parfaitement.  â€” Autre application de l’électricité. Ce"
1878 Zola Une page d amour,"Paris entier était allumé. Les petites flammes dansantes avaient criblé la mer des ténèbres d’un bout de l’horizon à  l’autre, et maintenant leurs millions d’étoiles brà»laient avec un éclat fixe, dans une sérénité de nuit d’été. Pas un souffle de vent, pas un frisson n’effarait ces lumières qui semblaient comme suspendues dans l’espace. Paris, qu’on ne voyait pas, en était reculé au fond de l’infini, aussi vaste qu’un firmament. Cependant, en bas des pentes du Trocadéro, une lueur rapide, les lanternes d’un fiacre ou d’un omnibus, coupait l’ombre de la fusée continue d’une étoile filante ; et là , dans le rayonnement des becs de gaz, qui dégageaient comme une buée jaune, on distinguait vaguement des faà§ades brouillées, des coins d’arbres, d’un vert cru de décor. Sur le pont des Invalides, les étoiles se croisaient sans relâche ; tandis que, en dessous, le long d’un ruban de ténèbres plus épaisses, se détachait un prodige, une bande de comètes dont les queues d’or s’allongeaient en pluie d’étincelles ; c’étaient, dans les eaux noires de la Seine, les réverbérations des lanternes du pont. Mais, au delà , l’inconnu commenà§ait. La longue courbe du fleuve était indiquée par un double cordon de gaz, que rattachaient d’autres cordons, de place en place ; on eà»t dit une échelle de lumière, jetée en travers de Paris, posant ses deux extrémités au bord du ciel, dans les étoiles. à€ gauche, une"
